DP,r,SE,SS,,,,,,,,,,,,,,,,
126.1.1,0.121,0.311597875,13,,,,,,,,,,,,,,,,
106.1.3,0.529895608,2.58E-02,779,,,,,,,,,,,,,,,,
102.1.1,8.50E-02,2.33E-02,1824,,,,,,,,,,,,,,,,
105.1.1,0.189004916,7.75E-02,158,,,,,,,,,,,,,,,,
121.1.1,-0.110158757,4.09E-03,58345,,,,,,,,,,,,,,,,
121.2.1,2.93E-02,4.14E-03,58345,,,,,,,,,,,,,,,,
121.3.1,3.51E-02,4.13E-03,58345,,,,,,,,,,,,,,,,
121.4.1,-2.37E-02,4.14E-03,58345,,,,,,,,,,,,,,,,
128.1.1,0.28323206,0.127550481,55,,,,,,,,,,,,,,,,
128.1.2,0.414927394,0.114800095,55,,,,,,,,,,,,,,,,
128.1.3,-0.137418018,0.136056349,55,,,,,,,,,,,,,,,,
128.1.4,0.316614326,0.12477362,55,,,,,,,,,,,,,,,,
129.1.1,0.286860978,0.127263587,55,,,,,,,,,,,,,,,,
129.1.2,0.415961202,0.114680976,55,,,,,,,,,,,,,,,,
129.1.3,0.142751484,0.135849131,55,,,,,,,,,,,,,,,,
139.1.1,2.47E-02,9.24E-02,120,,,,,,,,,,,,,,,,
139.2.1,-0.103585568,9.15E-02,120,,,,,,,,,,,,,,,,
139.3.1,5.92E-02,9.21E-02,120,,,,,,,,,,,,,,,,
139.4.1,9.09E-03,9.24E-02,120,,,,,,,,,,,,,,,,
15.1.1,0.450308651,1.05E-02,5727,,,,,,,,,,,,,,,,
15.2.1,0.451126754,1.39E-02,3307,,,,,,,,,,,,,,,,
15.21.1,0.12236079,1.31E-02,5680,,,,,,,,,,,,,,,,
15.22.1,0.137962376,1.71E-02,3284,,,,,,,,,,,,,,,,
15.23.1,0.129454533,2.60E-02,1428,,,,,,,,,,,,,,,,
15.24.1,7.08E-02,4.13E-02,583,,,,,,,,,,,,,,,,
15.25.1,-2.35E-02,0.051136199,385,,,,,,,,,,,,,,,,
15.3.1,0.471603975,2.06E-02,1430,,,,,,,,,,,,,,,,
15.4.1,0.492580445,0.031180203,593,,,,,,,,,,,,,,,,
15.5.1,0.386153771,4.29E-02,397,,,,,,,,,,,,,,,,
21.1.1,0.358224291,4.69E-02,348,,,,,,,,,,,,,,,,
21.1.3,0.240852372,5.07E-02,348,,,,,,,,,,,,,,,,
21.2.1,0.321456243,3.05E-02,868,,,,,,,,,,,,,,,,
21.2.2,0.261566721,3.17E-02,868,,,,,,,,,,,,,,,,
39.1.1,0.327288023,0.144844676,41,,,,,,,,,,,,,,,,
40.1.2,0.163681106,0.071168054,190,,,,,,,,,,,,,,,,
40.1.3,0.19814024,7.03E-02,190,,,,,,,,,,,,,,,,
45.1.1,7.09E-02,0.070889025,200,,,,,,,,,,,,,,,,
45.1.3,7.09E-02,0.070889025,200,,,,,,,,,,,,,,,,
51.1.1,0.465316167,9.64E-02,69,,,,,,,,,,,,,,,,
51.1.7,0.207471391,0.117793094,69,,,,,,,,,,,,,,,,
52.1.18,0.251920783,5.09E-02,342,,,,,,,,,,,,,,,,
52.1.2,0.309426374,4.91E-02,342,,,,,,,,,,,,,,,,
62.1.1,0.482012182,8.18E-02,91,,,,,,,,,,,,,,,,
64.1.2,0.388520269,0.115541343,57,,,,,,,,,,,,,,,,
65.1.1,0.134241873,4.53E-02,473,,,,,,,,,,,,,,,,
65.1.2,0.251522779,4.32E-02,473,,,,,,,,,,,,,,,,
65.1.3,1.61E-02,4.61E-02,473,,,,,,,,,,,,,,,,
65.1.4,0.121205326,4.54E-02,473,,,,,,,,,,,,,,,,
65.10.1,8.58E-02,4.58E-02,473,,,,,,,,,,,,,,,,
65.10.2,3.13E-02,4.61E-02,473,,,,,,,,,,,,,,,,
65.10.3,5.29E-02,4.60E-02,473,,,,,,,,,,,,,,,,
65.10.4,8.75E-03,4.61E-02,473,,,,,,,,,,,,,,,,
65.2.1,0.156108401,4.50E-02,473,,,,,,,,,,,,,,,,
65.2.2,0.225359132,4.38E-02,473,,,,,,,,,,,,,,,,
65.2.3,0.158327389,0.04497028,473,,,,,,,,,,,,,,,,
65.2.4,0.127057469,4.54E-02,473,,,,,,,,,,,,,,,,
65.3.1,0.163200685,4.49E-02,473,,,,,,,,,,,,,,,,
65.3.2,0.075809204,4.59E-02,473,,,,,,,,,,,,,,,,
65.3.3,0.018888432,4.61E-02,473,,,,,,,,,,,,,,,,
65.3.4,0.103121811,4.56E-02,473,,,,,,,,,,,,,,,,
65.4.1,0.081743588,4.58E-02,473,,,,,,,,,,,,,,,,
65.4.2,0.041434198,4.60E-02,473,,,,,,,,,,,,,,,,
65.4.3,-5.52E-02,4.60E-02,473,,,,,,,,,,,,,,,,
65.4.4,3.23E-03,4.61E-02,473,,,,,,,,,,,,,,,,
